"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C3, C6, C7, C8, C9, C10, C11","9","330nF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"2","C4","1","80pF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"3","C5","1","47uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"4","C12, C16","2","4.7uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"5","C13, C14","2","4.7uF","Capacitor_THT:C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2",""
"6","C15","1","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"7","C17","1","0.1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"8","C18","1","47uf","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"9","J1, J2","2","Conn_01x19","Connector_PinSocket_2.54mm:PinSocket_1x19_P2.54mm_Vertical",""
"10","J3","1","Electret Microphone","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal",""
"11","R1, R2","2","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"12","R3, R4","2","10M","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"13","R5","1","2.2k","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"14","R6, R7","2","10","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"15","U1","1","LTC6910-2CTS8-TRMPBF","LTC6910-2:TSOT-23_TS8_LIT",""
"16","U2","1","ADA4528-2ARMZ","ADA4528-2:RM_8_ADI",""
"17","U3","1","LTC6655CHMS8-3-PBF","LTC6655CHMS8-3-PBF:MSOP-8_MS_LIT",""
"18","U4","1","ADM7160ACPZN2.5-R7","ADM7160ACPZN2-5-R7:CP_6_3_ADI",""
"19","U5","1","LTC2508CDKD-32","Package_DFN_QFN:DFN-24-1EP_4x7mm_P0.5mm_EP2.64x6.44mm",""
